Property Id,Property Name,Parent Property Id,Parent Property Name,Year Ending,Year,Address 1,Address 2,City,Postal Code,Primary Property Type - Self Selected,Primary Property Type - EPA Calculated,National Median Reference Property Type,Property Floor Area (Building(s)) (ft2),Year Built,Number of Buildings,Occupancy,Custom Property ID 1 - ID,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),Other Use (kBtu),Energy Alerts,Property Use Detail Alerts,Energy Current Date,ENERGY STAR Score,National Median Site Energy Use (kBtu),National Median Source Energy Use (kBtu),National Median Site EUI (kBtu/ft2),National Median Source EUI (kBtu/ft2),Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),National Median ENERGY STAR Score,Total GHG Emissions (MtCO2e),Custom Property ID 1 - Name,Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Location
3281343,Curran Fromhold Correctional Facility,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,7901 State Road,NA,Philadelphia,22031,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,436250,1995,1,100,395,786504751,14993930,51159289.2,700232.469,70023246.9,0,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,38346375,74118875,87.9,169.9,216,216,121182535.9,234164576.7,277.8,536.8,121302043.5,231920917.2,278.1,531.6,14661700.4,712763.2,50,10800.9,Main Asset ID,3716.3,7084.6,24.8,"7901 State Road
Philadelphia, PENNSYLVANIA 22031
(40.03056726800003, -75.02298658599994)"
3281345,Detention Center,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,8201 State Road,NA,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,108960,1963,0,100,394,786504751,2846244,9711384.5,298664.84,29866484,2590732.2,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,12105456,18512304,111.1,169.9,248.3,248.3,42168600.9,64470195.5,387,591.7,44400439.8,66801880.5,407.5,613.1,2846243.7,318046.8,50,3007.1,Main Asset ID,1777.3,1229.8,27.6,"8201 State Road
Philadelphia, PENNSYLVANIA 19136
(40.03321496600006, -75.01816700599994)"
3281349,House of Correction Complex,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,8003 State Road,NA,Philadelphia,19136,Prison/Incarceration,Other,CBECS - Other,830754,1927,5,100,397,786504751/881449900,6879149,23471656.4,911907.955,91190795.5,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,One or more of the values for use details are outside the typical range for properties of your type.; Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,69201808.2,102265817.4,83.3,123.1,65.7,65.7,114662453.1,169451340.1,138,204,120870018.3,175969283.5,145.5,211.8,6879148.5,973983.6,50,7812.1,Main Asset ID,4839.7,2972.4,9.4,"8003 State Road
Philadelphia, PENNSYLVANIA 19136
(40.03132339600006, -75.02162096699993)"
3281373,Philadelphia Industrial Correction Center,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,8203 State Road,NA,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,200000,1979,1,100,393,786504751,4297814,14664141.4,294624.775,29462477.5,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,19480000,33980000,97.4,169.9,126.5,126.5,44126618.6,76981004.4,220.6,384.9,45395709.3,78313549.6,227,391.6,4297813.4,307315.7,50,3420.6,Main Asset ID,1563.6,1857,17.1,"8203 State Road
Philadelphia, PENNSYLVANIA 19136
(40.034545810000054, -75.01577636099995)"
3281377,Riverside Correctional Facility,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,8001 State Road,NA,Philadelphia,19136,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,220000,2004,1,100,398,786504751,4189223,14293628.9,175171.213,17517121.3,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,18788000,37378000,85.4,169.9,69.3,69.3,31810750.4,63274972.9,144.6,287.6,32774550.5,64286962.9,149,292.2,4189222.6,184809.2,50,2739.8,Main Asset ID,929.7,1810.1,12.5,"8001 State Road
Philadelphia, PENNSYLVANIA 19136
(40.03125575000007, -75.02174207399997)"
3289919,Holmesburg Complex,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,8215 Torresdale Avenue,NA,Philadelphia,19136,Prison/Incarceration,Other - Public Services,CBECS - Other,716651,1896,3,20,64,786537201,936702,3196027.2,65236.879,6523687.9,129784.9,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,51097216.3,88219738.1,71.3,123.1,-80.8,-80.7,9849500,17016480.5,13.7,23.7,10353489.5,17545286.5,14.4,24.5,936701.9,70181.1,50,760.6,Main Asset ID,355.9,404.7,1.1,"8215 Torresdale Avenue
Philadelphia, PENNSYLVANIA 19136
(40.03688798300004, -75.02199537999996)"
3335315,Family Courts,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,1801 Vine Street,NA,Philadelphia,19103,Courthouse,Courthouse,CBECS - Public Order and Safety,250000,1939,1,100,309,782598000,2077421,7088160.5,59572.598,5957259.8,NA,11093453.8,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,78,34675000,60125000,138.7,240.5,-30.4,-30.4,24138873.9,41857827,96.6,167.4,24584590,42475689.3,98.3,169.9,2077420.7,54237.6,50,2196,Main Asset ID,316.2,1879.8,8.8,"1801 Vine Street
Philadelphia, PENNSYLVANIA 19103
(39.95895080400004, -75.16886637299996)"
3339848,Police Administration Building,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,750 Race Street,NA,Philadelphia,19106,Office,Office,CBECS - Office & Bank/Financial,126000,1956,1,100,156,781379300,4993398,17037474,0,0,NA,6401033.9,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,5,12537000,32734800,99.5,259.8,86.9,87,23438508.2,61198376.1,186,485.7,23591806.1,60960096,187.2,483.8,4929437.8,0,50,2724.3,Main Asset ID,0,2724.3,21.6,"750 Race Street
Philadelphia, PENNSYLVANIA 19106
(39.954903330000036, -75.15199808499995)"
3369313,Fleet Shop 134,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,Front and Hunting Park,NA,Philadelphia,19125,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Other - Services,CBECS - Service,59962,1968,1,100,904,884460965,1199514,4092741.8,68598.441,6859844.1,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,3285917.6,6020184.8,54.8,100.4,233.4,233.1,10952586.1,20054046.2,182.7,334.4,11602076.5,20736011.1,193.5,345.8,1199513.9,75093.3,50,882.4,Main Asset ID,364.1,518.3,14.7,"Front and Hunting Park
Philadelphia, PENNSYLVANIA 19125
(39.977976058000024, -75.12637593899996)"
3389438,Philadelphia Nursing Home,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,2300 Poplar St.,NA,Philadelphia,19130,Senior Care Community,Senior Care Community,CBECS - Nursing,347543,1950,4,100,853,881444600,4671650,15939669.8,224720.824,22472082.4,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,One or more of the values for use details are outside the typical range for properties of your type.; Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; Use details include one or more temporary value.,12/31/2013,1,19010602.1,36457260.7,54.7,104.9,102,102,38411752.4,73646250.5,110.5,211.9,39840201.8,74572615.5,114.6,214.6,4591225.9,241749.4,50,3211.2,Main Asset ID,1192.6,2018.6,9.2,"2300 Poplar St.
Philadelphia, PENNSYLVANIA 19130
(39.97201781900003, -75.17447905499995)"
3408212,Fire Administration Building,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,276 Spring Garden Street,NA,Philadelphia,19123,Office,Office,CBECS - Office & Bank/Financial,50601,1975,1,100,274,781398000,1619001,5524031.4,NA,NA,1421195.8,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,One or more of the values for use details are outside the typical range for properties of your type.; Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,15,4574330.4,12366884.4,90.4,244.4,51.9,51.9,6945227.6,18780867.6,137.3,371.2,6795841.6,18311795.7,134.3,361.9,1575218.4,NA,50,805,Main Asset ID,105.5,699.5,15.9,"276 Spring Garden Street
Philadelphia, PENNSYLVANIA 19123
(39.960807561000024, -75.14312705999998)"
3618415,"City Hall, MSB and CJC",3618415,"City Hall, MSB and CJC",12/31/2011,2011,Market Street and Broad Street,NA,Philadelphia,19102,Office,Courthouse,CBECS - Public Order and Safety,2293000,1868,3,90,NA,NA,32475910,110807804.9,690343.136,69034313.6,NA,5051814.3,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,NA,246726800,569351900,107.6,248.3,-25.1,-25.1,184893920.6,426500038.7,80.6,186,190134613.5,428672523.7,82.9,186.9,31993859.9,752190,50,18143.5,NA,3663.8,14479.7,7.9,"Market Street and Broad Street
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
4066717,Juvenile Justice Center,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,91 N. 48th St.,NA,Philadelphia,19139,Prison/Incarceration,Prison/Incarceration,CBECS - Public Order and Safety,160000,2013,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; Bills for all meters of the type needed for this metric do not account for the full 12 calendar months.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; Bills for all meters of the type needed for this metric do not account for the full 12 calendar months.; One or more use details does not have 12 full months of information.; One or more use has less than 12 full calendar months of gross floor area.,12/31/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,0,0,NA,"91 N. 48th St.
Philadelphia, PENNSYLVANIA 19139
(39.96143241800007, -75.21639635099996)"
2365631,One Parkway Building,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,1515 Arch St,NA,Philadelphia,19102,Office,Office,CBECS - Office & Bank/Financial,502000,1962,1,100,40,772059100,15355150,52391771.8,212806.262,21280626.2,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,One or more of the values for use details are outside the typical range for properties of your type.; Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,34,62448800,158330800,124.4,315.4,18,18,73672413,186854868,146.8,372.2,77304926.8,190669007.6,154,379.8,15355152.5,249131.4,50,7764.1,Main Asset ID,1129.4,6634.7,15.5,"1515 Arch St
Philadelphia, PENNSYLVANIA 19102
(39.95465578900007, -75.16507339099996)"
3192582,City Hall,3618415,"City Hall, MSB and CJC",12/31/2012,2012,Broad and Market Street,NA,Philadelphia,19102,Office,Other,CBECS - Other,1202000,1868,0,100,287,782273400,8296679,28308268.7,352223.609,35222360.9,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,94,134143200,265882400,111.6,221.2,-52.6,-52.7,63530629.3,125871441.5,52.9,104.7,69682319.2,131784595.3,58,109.6,8220094.7,416353.5,50,5454.2,Main Asset ID,1869.3,3584.9,4.5,"Broad and Market Street
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
3192995,Criminal Justice Center,3618415,"City Hall, MSB and CJC",12/31/2012,2012,13th and Filbert Street,NA,Philadelphia,19107,Courthouse,Courthouse,CBECS - Public Order and Safety,600000,1994,1,100,93,781092450,16972140,57908941.7,2056,205600,NA,10995294.9,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,25,52380000,147960000,87.3,246.6,32,32,69109846.6,195277779.9,115.2,325.5,69094858.7,191957806.5,115.2,319.9,16472520.7,2056,50,8317.8,Main Asset ID,10.9,8306.9,13.9,"13th and Filbert Street
Philadelphia, PENNSYLVANIA 19107
(39.95314441100004, -75.16120989399997)"
3213775,Municipal Services Building,3618415,"City Hall, MSB and CJC",12/31/2012,2012,1401 J.F.K. Boulevard,NA,Philadelphia,19102,Office,Office,CBECS - Office & Bank/Financial,491000,1968,1,100,165,782003200,9605530,32774068.4,125703.844,12570384.4,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,67,55630300,142488200,113.3,290.2,-18.4,-18.5,45344453.7,116109481.3,92.4,236.5,48496337.9,119418959.7,98.8,243.2,9605529.1,157222.7,50,4817.5,Main Asset ID,667.1,4150.4,9.8,"1401 J.F.K. Boulevard
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
3237291,Central Library,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,1901 Vine Street,NA,Philadelphia,19103,Library,Library,CBECS - Library,200680,1922,1,100,321,782598210,5899469,20128988.2,3793.32,379332,NA,4990457.6,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,17318684,47280208,86.3,235.6,47.3,47.2,25498778,69607047.8,127.1,346.9,26403522.9,69806893.8,131.6,347.9,5765013.5,3793.3,50,3011,Main Asset ID,20.1,2990.9,15,"1901 Vine Street
Philadelphia, PENNSYLVANIA 19103
(39.95913822500006, -75.17039726099995)"
3237331,NE Reg Library/ Health Center #10,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,2230 Cottman Street,NA,Philadelphia,19149,Library,Library,CBECS - Library,58009,1962,2,100,281,NA,1324400,4518852.8,36103.36,3610336,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,6177958.5,13666920.4,106.5,235.6,31.5,31.6,8129188.7,17980050.2,140.1,310,8406376.3,18046811.8,144.9,311.1,1292948,39948.4,50,763.9,Main Asset ID,191.6,572.3,13.2,"2230 Cottman Street
Philadelphia, PENNSYLVANIA 19149
(40.04848665700007, -75.06129637199996)"
3267049,Health Administration Building,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,500 South Broad Street,NA,Philadelphia,19146,Office,Office,CBECS - Office & Bank/Financial,77688,1959,1,100,895,782026200,2539518,8664835.4,31158.678,3115867.8,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,14,7636730.4,19756058.4,98.3,254.3,54.2,54.3,11780703.1,30479243.9,151.6,392.3,12335815.9,30871445.9,158.8,397.4,2512780.3,37622.1,50,1262.7,Main Asset ID,165.4,1097.3,16.3,"500 South Broad Street
Philadelphia, PENNSYLVANIA 19146
(39.94451807400003, -75.16538483499994)"
3267057,Health Center #5,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,1900 N. 20th Street,NA,Philadelphia,19121,Medical Office,Medical Office,CBECS - Medical Office,36260,1960,1,100,785,784552700,823744,2810614.5,18863.802,1886380.2,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,28,3854438,8869196,106.3,244.6,21.8,21.8,4696994.9,10806029.2,129.5,298,5044842.2,11058160.4,139.1,305,807882.6,22883.5,50,456,Main Asset ID,100.1,355.9,12.6,"1900 N. 20th Street
Philadelphia, PENNSYLVANIA 19121
(39.98308840300007, -75.16675489799997)"
3267063,Medical Exam Building,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,321 University Ave,NA,Philadelphia,19104,Laboratory,Other,CBECS - Other,85000,1970,1,100,133,783532000,2842865,9699855.4,9807.12,980712,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,3553000,10463500,41.8,123.1,200.7,200.9,10680567.3,31487293.4,125.7,370.4,10608796.1,30942054,124.8,364,2776972.8,11337.6,50,1280.4,Main Asset ID,52,1228.4,15.1,"321 University Ave
Philadelphia, PENNSYLVANIA 19104
(39.947365028000036, -75.19853971799995)"
3281341,Art Museum and Perelman Bldg,NA: Standalone Property,NA: Standalone Property,12/31/2012,2012,2600 Ben Franklin Parkway,NA,Philadelphia,19130,Museum,Other - Entertainment/Public Assembly,CEBCS - Public Assembly,804000,1929,2,100,1933,782513700; 782513701,18559750,63325867,8295.959,829595.9,NA,84443488.3,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,33768000,68420400,42,85.1,340,340.4,148598939.7,301303248.6,184.8,374.8,151065471,304270587.1,187.9,378.4,18559744.4,8296,50,15539.9,Main Asset ID,44,15495.9,19.3,"2600 Ben Franklin Parkway
Philadelphia, PENNSYLVANIA 19130
(39.966826774000026, -75.17123812099999)"
